,cumulative_cases
0,555
1,409
2,847
3,651
4,35
5,25
6,1451
7,1039
8,97
9,27
10,8291
11,926
12,78
13,419
14,1572
15,75
16,1066
17,13964
18,18
19,84
20,99
21,59
22,330
23,901
24,23
25,9056
26,135
27,675
28,497
29,42
30,270
31,122
32,855
33,1739
34,70
35,94
36,170
37,4471
38,40236
39,2223
40,97
41,200
42,483
43,879
44,1011
45,814
46,16
47,595
48,3858
49,287
50,3107
51,986
52,16
53,3286
54,3163
55,1070
56,250
57,258
58,39
59,961
60,123
61,111
62,13
63,184
64,18
65,1518
66,1116
67,55
68,308
69,24
70,170
71,158
72,641
73,131
74,1514
75,11
76,20
77,133
78,214
79,239
80,1163
81,260
82,75
83,74
84,12
85,426
86,895
87,1135
88,1965
89,2956
90,20610
91,547
92,3849
93,307
94,4831
95,53578
96,72
97,187
98,223
99,397
100,1275
101,281
102,208
103,554
104,19
105,577
106,446
107,158
108,61
109,81
110,1070
111,3115
112,121
113,56
114,36
115,20
116,389
117,350
118,1439
119,324
120,3181
121,68
122,32
123,303
124,11
125,1617
126,76
127,146
128,16
129,121
130,10866
131,18
132,1078
133,279
134,681
135,373
136,828
137,15
138,4102
139,205
140,210
141,4183
142,2528
143,161
144,2954
145,3246
146,4102
147,9886
148,1068
149,1075
150,3150
151,1560
152,3864
153,11917
154,136
155,15
156,17
157,17
158,236
159,295
160,2523
161,250
162,2666
163,11
164,338
165,96
166,76
167,682
168,977
169,928
170,1934
171,806
172,47610
173,210
174,533
175,10
176,3046
177,12104
178,43
179,3807
180,40
181,5687
182,24
183,83
184,114
185,685
186,61049
187,12
188,63
189,3764
190,153
191,255
192,108
193,54
194,492
195,1214
196,171
197,16
198,327
199,84
200,34
